restaurant_id,restaurant,address_city,longitude,latitude,dish_description
5640f4538237d9c4aaf3b751c4d11769b3fc1e3165ed3b912c508768f7fc15fd,Monteiro´s Lanches,SAO PAULO,-46.640973,-23.603658,Lanches
a660f6374ab1a743468f576cb89e3a8cd9b9776a363ada7002a5db6066a8b572,True Food,SAO PAULO,-46.657908,-23.554423,Comida Saudável
07fc65555705243de378cc34222909fe9f44ad055b855ec8b7b9b8df86d70874,Red Galeteria,SAO PAULO,-46.688782,-23.600529,Comida Variada
adc9c524d56679d7fb7ffd9d5b2a3eaba5209758751576f2ffa5d2a6432565f8,Lanchonete Dona Vina,SAO PAULO,-46.763415,-23.587101,Comida Brasileira
6b511620f33db24724ba2b2fe6c31d78a4247c6360f83c785afe181ac15c6996,Obentô,SAO PAULO,-46.743734,-23.642763,Comida Saudável
3ad0c82b4306631db6c2ea6eadf0cd40fd81a4a40e1a54db449de0757c1fc5cd,Pizza Ten,SAO PAULO,-46.528542,-23.524709,Pizza
19517fd3dd1410110ceb126db055177eec773fe742b295cc650d5b3e90e03dca,Pizzaria Recanto Paulista,SAO PAULO,-46.638033,-23.576293,Pizza
9adb44cf621550187d05b6db9dab5986c72d19fee8455b4c72365a9cdd8dd765,Veridiana Pizzaria - Jardim Paulista,SAO PAULO,-46.656763,-23.569046,Pizza
d1dd624567a14ecaff57e4f3d974dcdca9154f2b10e951c532418232c27b0c5b,Mcdonald's - Av. Itaquera,SAO PAULO,-46.497632,-23.550179,Lanches
03a07b5887439609476b6ce97e97be09f3e97c595d546a7c15ed56cda28f897f,Cuordicrema - Pamplona,SAO PAULO,-46.66017,-23.570396,Sorvetes
65e906523390bdf3a34bf6b9aa7ca4f7cfcf836be413eb3466db03d6400ccacb,Rei Do Hambúrguer,SAO PAULO,-46.505167,-23.593306,Lanches
c87b23fb9ddf4f910a8e8bfb3047767c089e5a52a12ecc384b939df7be94ba9e,Mamaggiore,SAO PAULO,-46.731419,-23.526847,Comida Italiana
b627e0b2700d03d131a837199af91df3fa9fb3996cc0b94d21a1f4458049c3e3,Vivenda Do Camarão - Mooca,SAO PAULO,-46.593978,-23.581559,Frutos Do Mar
